"sample_name","xcms_peak_idx","feature_id","xcms_peak_mz","xcms_peak_rtmed","xcms_peak_rtmin","xcms_peak_rtmax","group_scan_count","scan_numbers_all","scan_numbers_in_umap","umap_scan_count"
"Posi_Ida_Chlamydomonas_1",1153,"feature_1153",711.505739793552,171.38500000002,168.33499999998,175.005,1,"999","",0
"Posi_Ida_Chlamydomonas_1",1160,"feature_1160",327.289344028978,171.38500000002,169.305,175.005,1,"1002","",0
"Posi_Ida_Chlamydomonas_1",1161,"feature_1161",362.325935336315,171.38500000002,169.305,173.61499999998,1,"995","",0
"Posi_Ida_Chlamydomonas_1",1162,"feature_1162",363.329425669042,172.07500000002,169.305,173.61499999998,1,"1003","",0
"Posi_Ida_Chlamydomonas_1",1164,"feature_1164",408.307718657886,169.995,166.368,173.61499999998,2,"980,992","",0
"Posi_Ida_Chlamydomonas_1",1168,"feature_1168",602.425682304013,150.636,144.426,156.306,1,"888","",0
"Posi_Ida_Chlamydomonas_1",1176,"feature_1176",412.328183195332,172.07500000002,169.305,178.46500000002,1,"997","",0
"Posi_Ida_Chlamydomonas_1",1181,"feature_1181",390.356984934791,172.07500000002,169.305,175.005,1,"991","",0
"Posi_Ida_Chlamydomonas_1",1183,"feature_1183",431.383208567475,162.72499999998,158.68399999998,166.368,1,"947","",0
"Posi_Ida_Chlamydomonas_1",1184,"feature_1184",431.383732601259,169.995,166.368,175.695,1,"981","",0
"Posi_Ida_Chlamydomonas_1",1185,"feature_1185",623.451806434672,173.61499999998,168.477,177.77500000002,1,"1012","",0
"Posi_Ida_Chlamydomonas_1",1192,"feature_1192",1120.66066362372,173.61499999998,171.38500000002,175.005,1,"1013","",0
"Posi_Ida_Chlamydomonas_1",1196,"feature_1196",345.299822230213,172.07500000002,166.368,175.695,1,"994","",0
"Posi_Ida_Chlamydomonas_1",1197,"feature_1197",490.381461042241,173.61499999998,169.995,177.77500000002,1,"1011","",0
"Posi_Ida_Chlamydomonas_1",1198,"feature_1198",783.46305797589,168.477,166.07500000002,173.61499999998,1,"941","941",1
"Posi_Ida_Chlamydomonas_1",1201,"feature_1201",1126.33672752851,173.61499999998,171.38500000002,175.695,1,"1014","1014",1
"Posi_Ida_Chlamydomonas_1",1207,"feature_1207",367.281337561374,172.07500000002,166.79899999998,177.77500000002,1,"996","",0
"Posi_Ida_Chlamydomonas_1",1215,"feature_1215",1213.57061152142,175.005,172.91800000002,176.385,1,"1023","1023",1
"Posi_Ida_Chlamydomonas_1",1222,"feature_1222",645.246151555652,174.30499999998,165.38500000002,177.075,1,"1022","",0
"Posi_Ida_Chlamydomonas_1",1228,"feature_1228",557.410932627422,176.385,166.65400000002,190.284,1,"1029","",0
"Posi_Ida_Chlamydomonas_1",1231,"feature_1231",579.42441696084,175.005,168.61900000002,181.944,1,"1018","",0
"Posi_Ida_Chlamydomonas_1",1235,"feature_1235",284.294184592568,177.77500000002,176.385,183.33400000002,1,"1045","",0
"Posi_Ida_Chlamydomonas_1",1238,"feature_1238",584.419245029738,176.385,168.477,186.114,1,"1019","",0
"Posi_Ida_Chlamydomonas_1",1256,"feature_1256",583.286578165417,179.16400000002,177.075,180.555,1,"1055","",0
"Posi_Ida_Chlamydomonas_1",1260,"feature_1260",630.274145771432,175.695,169.305,181.944,1,"1051","1051",1
"Posi_Ida_Chlamydomonas_1",1273,"feature_1273",629.270813760246,175.695,169.305,182.634,2,"1006,1021","1006,1021",2
"Posi_Ida_Chlamydomonas_1",1275,"feature_1275",696.481975893801,179.16400000002,173.61499999998,181.24399999998,1,"1057","1057",1
"Posi_Ida_Chlamydomonas_1",1276,"feature_1276",754.544234015478,177.075,173.61499999998,182.634,2,"1027,1034","1027,1034",2
"Posi_Ida_Chlamydomonas_1",1280,"feature_1280",277.291885323116,179.16400000002,177.075,181.944,1,"1061","",0
"Posi_Ida_Chlamydomonas_1",1284,"feature_1284",489.279026159166,179.16400000002,175.695,181.944,2,"1042,1049","1042,1049",2
"Posi_Ida_Chlamydomonas_1",1288,"feature_1288",671.31007841507,180.555,178.46500000002,181.944,1,"1066","1066",1
"Posi_Ida_Chlamydomonas_1",1294,"feature_1294",802.578467762281,179.16400000002,176.385,181.944,1,"1043","1043",1
"Posi_Ida_Chlamydomonas_1",1297,"feature_1297",819.593387432888,179.16400000002,176.385,181.944,2,"1052,1059","1052,1059",2
"Posi_Ida_Chlamydomonas_1",1299,"feature_1299",339.288881376262,179.85499999998,175.005,190.284,2,"1031,1036","",0
"Posi_Ida_Chlamydomonas_1",1300,"feature_1300",381.299626163676,178.46500000002,172.77499999998,184.72399999998,2,"1037,1046","",0
"Posi_Ida_Chlamydomonas_1",1302,"feature_1302",399.309624627435,179.16400000002,175.695,185.41399999998,2,"1038,1047","",0
"Posi_Ida_Chlamydomonas_1",1304,"feature_1304",438.268651879986,179.85499999998,173.61499999998,188.89399999998,1,"1062","",0
"Posi_Ida_Chlamydomonas_1",1307,"feature_1307",608.293051107517,175.695,168.33499999998,184.02400000002,1,"1056","1056",1
"Posi_Ida_Chlamydomonas_1",1308,"feature_1308",670.305682881947,180.555,178.46500000002,182.634,1,"1063","1063",1
"Posi_Ida_Chlamydomonas_1",1309,"feature_1309",686.460688287706,181.24399999998,178.46500000002,191.274,1,"1067","1067",1
"Posi_Ida_Chlamydomonas_1",1324,"feature_1324",437.265275175275,179.16400000002,176.385,185.41399999998,1,"1048","",0
"Posi_Ida_Chlamydomonas_1",1326,"feature_1326",585.426876239325,176.385,170.685,186.804,1,"1026","",0
"Posi_Ida_Chlamydomonas_1",1329,"feature_1329",778.507756909507,168.477,166.07500000002,175.005,3,"967,983,1007","967",1
"Posi_Ida_Chlamydomonas_1",1330,"feature_1330",828.491056287974,181.944,180.555,188.19400000002,1,"1073","",0
"Posi_Ida_Chlamydomonas_1",1342,"feature_1342",548.426618892459,183.33400000002,180.555,187.50400000002,2,"1077,1084","",0
"Posi_Ida_Chlamydomonas_1",1344,"feature_1344",607.289834162238,175.695,166.65400000002,185.41399999998,2,"998,1020","998,1020",2
"Posi_Ida_Chlamydomonas_1",1349,"feature_1349",310.310395804431,182.634,176.385,188.19400000002,1,"1075","",0
"Posi_Ida_Chlamydomonas_1",1351,"feature_1351",548.926666584154,183.33400000002,181.24399999998,186.114,1,"1081","",0
"Posi_Ida_Chlamydomonas_1",1352,"feature_1352",416.336472284318,179.16400000002,175.695,185.41399999998,2,"1032,1039","1032,1039",2
"Posi_Ida_Chlamydomonas_1",1353,"feature_1353",421.29174198221,179.16400000002,174.30499999998,185.41399999998,3,"1033,1040,1076","1040",1
"Posi_Ida_Chlamydomonas_1",1362,"feature_1362",425.339684017536,185.41399999998,182.634,188.19400000002,1,"1088","",0
"Posi_Ida_Chlamydomonas_1",1363,"feature_1363",444.367404469458,179.85499999998,175.695,186.114,1,"1041","",0
"Posi_Ida_Chlamydomonas_1",1366,"feature_1366",601.42247289358,150.636,144.426,156.306,1,"880","880",1
"Posi_Ida_Chlamydomonas_1",1367,"feature_1367",601.422888802783,179.16400000002,172.07500000002,188.89399999998,1,"1050","1050",1
"Posi_Ida_Chlamydomonas_1",1370,"feature_1370",600.415737356863,151.326,143.736,156.44800000002,1,"885","",0
"Posi_Ida_Chlamydomonas_1",1374,"feature_1374",699.497603999552,186.804,184.02400000002,191.97400000002,1,"1093","1093",1
"Posi_Ida_Chlamydomonas_1",1380,"feature_1380",336.325040923147,188.19400000002,184.02400000002,191.97400000002,1,"1098","",0
"Posi_Ida_Chlamydomonas_1",1383,"feature_1383",577.444422718589,187.50400000002,184.72399999998,190.57699999998,1,"1099","",0
"Posi_Ida_Chlamydomonas_1",1384,"feature_1384",577.945756834443,187.50400000002,185.41399999998,190.284,1,"1095","",0
"Posi_Ida_Chlamydomonas_1",1387,"feature_1387",656.221201009359,187.50400000002,185.41399999998,190.284,1,"1102","",0
"Posi_Ida_Chlamydomonas_1",1388,"feature_1388",879.643539422634,188.89399999998,186.804,190.284,1,"1109","1109",1
"Posi_Ida_Chlamydomonas_1",1396,"feature_1396",698.496060542747,186.804,180.555,191.97400000002,1,"1096","1096",1
"Posi_Ida_Chlamydomonas_1",1400,"feature_1400",772.5701690182,183.33400000002,176.385,189.58399999998,2,"1064,1070","1064,1070",2
"Posi_Ida_Chlamydomonas_1",1402,"feature_1402",378.322251649904,189.58399999998,186.804,193.36399999998,1,"1111","",0
"Posi_Ida_Chlamydomonas_1",1403,"feature_1403",446.35996646622,189.58399999998,186.804,200.583,1,"1107","",0
"Posi_Ida_Chlamydomonas_1",1404,"feature_1404",467.291978303451,189.58399999998,186.804,194.05399999998,1,"1108","",0
"Posi_Ida_Chlamydomonas_1",1413,"feature_1413",430.339311492989,189.58399999998,186.804,191.97400000002,1,"1106","",0
"Posi_Ida_Chlamydomonas_1",1414,"feature_1414",451.316491901914,189.58399999998,186.114,194.05399999998,1,"1113","",0
"Posi_Ida_Chlamydomonas_1",1420,"feature_1420",395.329669991094,190.284,167.64499999998,204.063,1,"1105","",0
"Posi_Ida_Chlamydomonas_1",1423,"feature_1423",628.192322795286,188.19400000002,185.41399999998,192.66400000002,1,"1101","1101",1
"Posi_Ida_Chlamydomonas_1",1430,"feature_1430",377.319620402186,189.58399999998,183.33400000002,193.36399999998,1,"1104","",0
"Posi_Ida_Chlamydomonas_1",1431,"feature_1431",429.335179439589,189.58399999998,184.72399999998,193.36399999998,1,"1112","",0
"Posi_Ida_Chlamydomonas_1",1432,"feature_1432",606.968310909857,191.97400000002,189.58399999998,194.754,1,"1120","",0
"Posi_Ida_Chlamydomonas_1",1439,"feature_1439",734.482735425352,191.274,190.284,194.05399999998,1,"1122","",0
"Posi_Ida_Chlamydomonas_1",1448,"feature_1448",228.195551857478,169.995,166.368,175.695,1,"990","",0
"Posi_Ida_Chlamydomonas_1",1452,"feature_1452",637.467480940487,192.66400000002,172.91800000002,220.22200000002,1,"1137","",0
"Posi_Ida_Chlamydomonas_1",1453,"feature_1453",659.479862665025,192.66400000002,187.50400000002,199.893,1,"1129","",0
"Posi_Ida_Chlamydomonas_1",1454,"feature_1454",659.981599597954,191.274,179.16400000002,199.19299999998,1,"1133","",0
